Location,Year,Crime,Total cases
Barcelona,2021,Serious and less serious crimes of injuries and riotous brawl,2161
Salamanca,2021,Theft,2303
Barcelona,2021,Crimes against freedom and sexual indemnity,2406
Madrid,2021,Crimes against freedom and sexual indemnity,2420
Madrid,2021,Drug trafficking,2502
Seville,2021,Robberies with force in homes,2565
Madrid,2021,Serious and less serious crimes of injuries and riotous brawl,2717
Ceuta,2021,Other criminal offenses,2785
Barcelona,2021,Drug trafficking,2833
Melilla,2021,Other criminal offenses,2842
Malaga,2021,Robberies with force in homes,2933
Valencia,2021,Robbery with violence and intimidation,3063
Murcia,2021,Robberies with force in homes,3793
Malaga,2021,Burglaries with force in homes,4154
Cordoba,2021,Theft,4505
Seville,2021,Burglaries with force in homes,4697
Murcia,2021,Burglaries with force in homes,4701
Barcelona,2021,Vehicle theft,5074
Alicante,2021,Robberies with force in homes,5282
Granada,2021,Theft,5998
Valencia,2021,Robberies with force in homes,6054
Rioja,2021,Other criminal offenses,6309
Salamanca,2021,Other criminal offenses,6600
Alicante,2021,Burglaries with force in homes,6672
Madrid,2021,Vehicle theft,6922
Valencia,2021,Burglaries with force in homes,7018
Zaragoza,2021,Theft,7663
Segovia,2021,Theft,7727
Madrid,2021,Robberies with force in homes,8243
Spain,2021,Theft,9311
Barcelona,2021,Robberies with force in homes,10697
Murcia,2021,Theft,11925
Madrid,2021,Robbery with violence and intimidation,12153
Madrid,2021,Burglaries with force in homes,12262
Cordoba,2021,Other criminal offenses,16675
Barcelona,2021,Burglaries with force in homes,16743
Barcelona,2021,Robbery with violence and intimidation,18360
Alicante,2021,Theft,18481
Malaga,2021,Theft,18720
Seville,2021,Theft,18880
Zaragoza,2021,Other criminal offenses,21316
Granada,2021,Other criminal offenses,21570
Spain,2021,Other criminal offenses,23066
Segovia,2021,Other criminal offenses,23381
Valencia,2021,Theft,34443
Murcia,2021,Other criminal offenses,37088
Malaga,2021,Other criminal offenses,47803
Seville,2021,Other criminal offenses,48461
Alicante,2021,Other criminal offenses,49211
Valencia,2021,Other criminal offenses,74380
Barcelona,2021,Theft,97043
Madrid,2021,Theft,108778
Barcelona,2021,Other criminal offenses,152565
Madrid,2021,Other criminal offenses,197970
